09-17-2026 09:53:16 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [36%@1420,28%@1420,31%@1420,29%@1420,off,off] GR3D_FREQ 0% cv0@49.593C cpu@52.562C soc2@50.906C soc0@51.437C cv1@49.718C gpu@50.312C tj@52.75C soc1@52.75C cv2@50.187C VDD_IN 5694mW/5420mW VDD_CPU_GPU_CV 948mW/770mW VDD_SOC 1803mW/1736mW
09-17-2026 09:53:17 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [33%@729,26%@729,32%@729,28%@729,off,off] GR3D_FREQ 0% cv0@49.625C cpu@51.781C soc2@50.843C soc0@51.531C cv1@49.625C gpu@50.343C tj@52.843C soc1@52.843C cv2@50.218C VDD_IN 5596mW/5427mW VDD_CPU_GPU_CV 853mW/773mW VDD_SOC 1803mW/1738mW
09-17-2026 09:53:18 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [29%@883,39%@883,26%@883,17%@883,off,off] GR3D_FREQ 0% cv0@49.531C cpu@51.843C soc2@50.937C soc0@51.531C cv1@49.687C gpu@50.312C tj@52.968C soc1@52.968C cv2@50.281C VDD_IN 5599mW/5433mW VDD_CPU_GPU_CV 854mW/776mW VDD_SOC 1804mW/1741mW
09-17-2026 09:53:19 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [33%@806,30%@806,22%@806,20%@806,off,off] GR3D_FREQ 0% cv0@49.531C cpu@52.093C soc2@50.906C soc0@51.656C cv1@49.75C gpu@50.125C tj@53.062C soc1@53.062C cv2@50.156C VDD_IN 5599mW/5439mW VDD_CPU_GPU_CV 758mW/776mW VDD_SOC 1803mW/1743mW
09-17-2026 09:53:20 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [18%@729,40%@729,29%@729,24%@729,off,off] GR3D_FREQ 0% cv0@49.562C cpu@51.75C soc2@50.906C soc0@51.437C cv1@49.843C gpu@50.156C tj@52.875C soc1@52.875C cv2@50.187C VDD_IN 5504mW/5441mW VDD_CPU_GPU_CV 758mW/775mW VDD_SOC 1804mW/1745mW
09-17-2026 09:53:21 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@729,18%@729,26%@729,39%@729,off,off] GR3D_FREQ 0% cv0@49.656C cpu@51.718C soc2@50.937C soc0@51.437C cv1@49.875C gpu@50.187C tj@52.906C soc1@52.906C cv2@50.312C VDD_IN 5508mW/5443mW VDD_CPU_GPU_CV 759mW/775mW VDD_SOC 1804mW/1747mW
09-17-2026 09:53:22 RAM 1403/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@729,27%@729,21%@729,35%@729,off,off] GR3D_FREQ 0% cv0@49.5C cpu@51.875C soc2@50.937C soc0@51.593C cv1@49.812C gpu@50.406C tj@52.968C soc1@52.968C cv2@50.187C VDD_IN 5508mW/5446mW VDD_CPU_GPU_CV 759mW/774mW VDD_SOC 1804mW/1749mW
09-17-2026 09:53:23 RAM 1404/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [28%@729,23%@729,23%@729,38%@729,off,off] GR3D_FREQ 0% cv0@49.593C cpu@51.875C soc2@50.937C soc0@51.562C cv1@49.812C gpu@50.187C tj@52.843C soc1@52.843C cv2@50.218C VDD_IN 5508mW/5447mW VDD_CPU_GPU_CV 759mW/774mW VDD_SOC 1804mW/1751mW
09-17-2026 09:53:24 RAM 1404/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [36%@729,24%@729,24%@729,24%@729,off,off] GR3D_FREQ 0% cv0@49.687C cpu@51.843C soc2@50.937C soc0@51.468C cv1@49.937C gpu@50.187C tj@52.906C soc1@52.906C cv2@50.343C VDD_IN 5508mW/5449mW VDD_CPU_GPU_CV 759mW/773mW VDD_SOC 1804mW/1752mW
09-17-2026 09:53:25 RAM 1401/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@729,30%@729,35%@729,27%@729,off,off] GR3D_FREQ 0% cv0@49.875C cpu@51.875C soc2@50.968C soc0@51.593C cv1@49.781C gpu@50.281C tj@52.937C soc1@52.937C cv2@50.406C VDD_IN 5694mW/5457mW VDD_CPU_GPU_CV 853mW/776mW VDD_SOC 1803mW/1754mW
09-17-2026 09:53:26 RAM 1401/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@729,27%@729,23%@729,24%@729,off,off] GR3D_FREQ 0% cv0@49.531C cpu@52.031C soc2@50.968C soc0@51.625C cv1@49.843C gpu@50.562C tj@53C soc1@53C cv2@50.468C VDD_IN 5508mW/5458mW VDD_CPU_GPU_CV 759mW/775mW VDD_SOC 1804mW/1755mW
09-17-2026 09:53:27 RAM 1405/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@729,29%@729,24%@729,33%@729,off,off] GR3D_FREQ 0% cv0@49.625C cpu@51.875C soc2@50.968C soc0@51.718C cv1@49.906C gpu@50.25C tj@52.906C soc1@52.906C cv2@50.312C VDD_IN 5508mW/5459mW VDD_CPU_GPU_CV 759mW/775mW VDD_SOC 1804mW/1756mW
09-17-2026 09:53:28 RAM 1405/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [28%@729,26%@729,27%@729,27%@729,off,off] GR3D_FREQ 0% cv0@49.687C cpu@51.906C soc2@50.937C soc0@51.531C cv1@49.937C gpu@50.093C tj@53C soc1@53C cv2@50.343C VDD_IN 5508mW/5461mW VDD_CPU_GPU_CV 759mW/774mW VDD_SOC 1804mW/1758mW
09-17-2026 09:53:29 RAM 1405/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [26%@729,26%@729,25%@729,26%@729,off,off] GR3D_FREQ 0% cv0@49.687C cpu@51.906C soc2@51C soc0@51.656C cv1@49.75C gpu@50.281C tj@53.062C soc1@53.062C cv2@50.437C VDD_IN 5508mW/5462mW VDD_CPU_GPU_CV 759mW/774mW VDD_SOC 1804mW/1759mW
09-17-2026 09:53:30 RAM 1405/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [30%@729,28%@729,24%@729,29%@729,off,off] GR3D_FREQ 0% cv0@49.625C cpu@51.937C soc2@51.031C soc0@51.718C cv1@49.781C gpu@50.343C tj@53.062C soc1@53.062C cv2@50.5C VDD_IN 5508mW/5463mW VDD_CPU_GPU_CV 759mW/773mW VDD_SOC 1804mW/1760mW
09-17-2026 09:53:31 RAM 1406/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [24%@729,26%@729,34%@729,28%@729,off,off] GR3D_FREQ 0% cv0@49.625C cpu@52.218C soc2@50.937C soc0@51.781C cv1@50C gpu@50.406C tj@52.906C soc1@52.906C cv2@50.375C VDD_IN 5508mW/5464mW VDD_CPU_GPU_CV 759mW/773mW VDD_SOC 1804mW/1761mW
09-17-2026 09:53:32 RAM 1406/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [28%@729,26%@729,25%@729,28%@729,off,off] GR3D_FREQ 0% cv0@49.781C cpu@51.968C soc2@51C soc0@51.625C cv1@50.062C gpu@50.468C tj@53C soc1@53C cv2@50.437C VDD_IN 5504mW/5465mW VDD_CPU_GPU_CV 759mW/773mW VDD_SOC 1804mW/1762mW
09-17-2026 09:53:33 RAM 1406/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [31%@729,21%@729,26%@729,37%@729,off,off] GR3D_FREQ 0% cv0@49.687C cpu@52C soc2@51.093C soc0@51.562C cv1@49.937C gpu@50.187C tj@53.125C soc1@53.125C cv2@50.562C VDD_IN 5504mW/5466mW VDD_CPU_GPU_CV 759mW/772mW VDD_SOC 1804mW/1763mW
09-17-2026 09:53:34 RAM 1406/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [25%@729,25%@729,26%@729,35%@729,off,off] GR3D_FREQ 0% cv0@49.75C cpu@52.125C soc2@50.937C soc0@51.812C cv1@49.906C gpu@50.343C tj@53.031C soc1@53.031C cv2@50.406C VDD_IN 5508mW/5467mW VDD_CPU_GPU_CV 759mW/772mW VDD_SOC 1804mW/1764mW
09-17-2026 09:53:35 RAM 1406/7607MB (lfb 3x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@729,25%@729,33%@729,31%@729,off,off] GR3D_FREQ 0% cv0@49.75C cpu@51.937C soc2@51C soc0@51.656C cv1@50.125C gpu@50.406C tj@53.062C soc1@53.062C cv2@50.5C VDD_IN 5504mW/5468mW VDD_CPU_GPU_CV 759mW/772mW VDD_SOC 1804mW/1765mW
