09-22-2026 19:31:36 RAM 4069/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [48%@1984,43%@1984,40%@1984,38%@1984,40%@1344,37%@1344,47%@1344,38%@1344] GR3D_FREQ 80% cv0@40.218C cpu@42.062C soc2@41.312C soc0@41.5C cv1@41C gpu@40C tj@42.843C soc1@42.843C cv2@39.656C VDD_IN 10520mW/9606mW VDD_CPU_GPU_CV 4376mW/3901mW VDD_SOC 2175mW/1985mW
09-22-2026 19:31:37 RAM 4065/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [47%@1984,37%@1984,32%@1984,32%@1984,40%@960,45%@960,49%@960,44%@960] GR3D_FREQ 38% cv0@40.375C cpu@42.031C soc2@41.5C soc0@41.562C cv1@41C gpu@39.906C tj@43C soc1@43C cv2@39.75C VDD_IN 10204mW/9630mW VDD_CPU_GPU_CV 4106mW/3909mW VDD_SOC 2175mW/1992mW
09-22-2026 19:31:38 RAM 4070/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [46%@1984,38%@1984,32%@1984,34%@1984,42%@1344,39%@1344,35%@1344,48%@1344] GR3D_FREQ 51% cv0@40.406C cpu@42C soc2@41.437C soc0@41.625C cv1@41.031C gpu@40.187C tj@43.156C soc1@43.156C cv2@39.843C VDD_IN 10046mW/9646mW VDD_CPU_GPU_CV 3948mW/3910mW VDD_SOC 2175mW/1999mW
09-22-2026 19:31:39 RAM 4054/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [48%@1958,39%@1958,40%@1958,37%@1984,32%@1267,44%@1267,34%@1267,42%@1267] GR3D_FREQ 98% cv0@40.437C cpu@42.156C soc2@41.468C soc0@41.625C cv1@41.125C gpu@40.093C tj@43.062C soc1@43.062C cv2@39.843C VDD_IN 10204mW/9667mW VDD_CPU_GPU_CV 4106mW/3918mW VDD_SOC 2175mW/2006mW
09-22-2026 19:31:40 RAM 4056/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [49%@1984,37%@1984,37%@1984,36%@1984,40%@1958,42%@1958,50%@1958,36%@1958] GR3D_FREQ 38% cv0@40.437C cpu@42.343C soc2@41.562C soc0@41.75C cv1@41.093C gpu@40.218C tj@43.125C soc1@43.156C cv2@39.906C VDD_IN 10204mW/9686mW VDD_CPU_GPU_CV 4106mW/3924mW VDD_SOC 2175mW/2012mW
09-22-2026 19:31:41 RAM 4052/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [40%@806,37%@806,38%@806,41%@806,46%@1804,41%@1804,39%@1804,40%@1804] GR3D_FREQ 45% cv0@40.625C cpu@42.281C soc2@41.531C soc0@41.75C cv1@41.5C gpu@40.312C tj@43.093C soc1@43.093C cv2@40.031C VDD_IN 10283mW/9706mW VDD_CPU_GPU_CV 4257mW/3936mW VDD_SOC 2175mW/2018mW
09-22-2026 19:31:42 RAM 4056/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [41%@1984,33%@1984,36%@1984,66%@1984,40%@1344,43%@1344,52%@1344,37%@1344] GR3D_FREQ 92% cv0@40.75C cpu@42.531C soc2@41.812C soc0@41.812C cv1@41.5C gpu@40.718C tj@43.187C soc1@43.218C cv2@40.156C VDD_IN 11944mW/9781mW VDD_CPU_GPU_CV 5825mW/3999mW VDD_SOC 2171mW/2023mW
09-22-2026 19:31:43 RAM 4053/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [43%@1984,31%@1984,31%@1984,89%@1984,39%@960,35%@960,43%@960,51%@960] GR3D_FREQ 98% cv0@40.906C cpu@42.843C soc2@42.093C soc0@42C cv1@41.593C gpu@40.812C tj@43.437C soc1@43.437C cv2@40.25C VDD_IN 12162mW/9858mW VDD_CPU_GPU_CV 6061mW/4065mW VDD_SOC 2171mW/2027mW
09-22-2026 19:31:44 RAM 4057/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [54%@1984,35%@1984,38%@1984,46%@1984,50%@1984,37%@1984,30%@1984,39%@1984] GR3D_FREQ 41% cv0@41.093C cpu@42.906C soc2@42.062C soc0@42.062C cv1@41.875C gpu@40.875C tj@43.562C soc1@43.562C cv2@40.343C VDD_IN 12043mW/9926mW VDD_CPU_GPU_CV 5904mW/4123mW VDD_SOC 2171mW/2032mW
09-22-2026 19:31:45 RAM 4056/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [40%@1984,33%@1984,49%@1984,48%@1984,56%@1036,37%@1036,32%@1036,43%@1036] GR3D_FREQ 88% cv0@41.468C cpu@42.875C soc2@42.281C soc0@42.281C cv1@41.906C gpu@41.156C tj@43.531C soc1@43.531C cv2@40.5C VDD_IN 12201mW/9995mW VDD_CPU_GPU_CV 6061mW/4181mW VDD_SOC 2211mW/2037mW
09-22-2026 19:31:46 RAM 4054/15656MB (lfb 4x4MB) SWAP 0/7828MB (cached 0MB) CPU [43%@1984,41%@1984,72%@1984,36%@1984,40%@729,41%@729,41%@729,34%@729] GR3D_FREQ 55% cv0@41.187C cpu@42.906C soc2@42.437C soc0@42.281C cv1@41.968C gpu@40.937C tj@43.593C soc1@43.593C cv2@40.468C VDD_IN 12102mW/10057mW VDD_CPU_GPU_CV 5943mW/4233mW VDD_SOC 2171mW/2041mW
09-22-2026 19:31:47 RAM 4061/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [50%@1984,52%@1984,42%@1984,43%@1984,38%@729,51%@729,34%@729,32%@729] GR3D_FREQ 39% cv0@41.718C cpu@43.187C soc2@42.625C soc0@42.312C cv1@41.968C gpu@40.968C tj@43.687C soc1@43.687C cv2@40.562C VDD_IN 11984mW/10112mW VDD_CPU_GPU_CV 5864mW/4280mW VDD_SOC 2171mW/2045mW
09-22-2026 19:31:48 RAM 4060/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [44%@1984,44%@1984,31%@1984,46%@1984,32%@729,33%@729,29%@729,69%@729] GR3D_FREQ 61% cv0@41.75C cpu@43.093C soc2@42.437C soc0@42.5C cv1@42.031C gpu@41.531C tj@43.843C soc1@43.843C cv2@40.656C VDD_IN 12004mW/10164mW VDD_CPU_GPU_CV 5943mW/4326mW VDD_SOC 2171mW/2048mW
09-22-2026 19:31:49 RAM 4057/15656MB (lfb 5x4MB) SWAP 0/7828MB (cached 0MB) CPU [45%@1984,32%@1984,41%@1984,36%@1984,61%@1036,42%@1036,33%@1036,51%@1036] GR3D_FREQ 53% cv0@41.562C cpu@43.218C soc2@42.593C soc0@42.531C cv1@42.281C gpu@41.562C tj@43.875C soc1@43.875C cv2@40.75C VDD_IN 12122mW/10217mW VDD_CPU_GPU_CV 6022mW/4372mW VDD_SOC 2171mW/2052mW
